name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,random_angle_rad,stellar_magnitude_scaled
Kepler-226 d,3197.0,15.563,Super Earth,2014,1.98,Earth,1.22,Earth,0.076,0.022176592,0.0,Transit,3.5370236302243976,0.664113585440578
Kepler-227 b,3533.0,15.623,Neptune-like,2014,9.85,Earth,0.277,Jupiter,0.09,0.026009582,0.0,Transit,0.2008495503669115,0.6627417806026796
Kepler-227 c,3533.0,15.623,Neptune-like,2014,9.48,Earth,0.271,Jupiter,0.29,0.14893909,0.0,Transit,1.7118656831507313,0.6627417806026796
Kepler-228 b,5365.0,15.902,Super Earth,2014,2.96,Earth,1.53,Earth,0.038,0.007118412,0.0,Transit,5.327408089986911,0.656362888106452
Kepler-228 c,5365.0,15.902,Neptune-like,2014,7.75,Earth,0.241,Jupiter,0.052,0.011225188,0.0,Transit,0.8849071123039376,0.656362888106452
Kepler-228 d,5365.0,15.902,Neptune-like,2014,15.4,Earth,0.36,Jupiter,0.101,0.030390145,0.0,Transit,4.720922376346626,0.656362888106452
Kepler-229 b,2695.0,16.22,Neptune-like,2014,5.48,Earth,2.2,Earth,0.062,0.017248461,0.0,Transit,5.750664165620974,0.6490923224655906
Kepler-229 c,2695.0,16.22,Neptune-like,2014,21.5,Earth,0.439,Jupiter,0.117,0.044079397,0.0,Transit,5.8162309322990335,0.6490923224655906
Kepler-229 d,2695.0,16.22,Neptune-like,2014,14.2,Earth,0.343,Jupiter,0.22,0.11279946,0.0,Transit,1.933698328971971,0.6490923224655906
Kepler-22 b,635.0,11.751,Super Earth,2011,36.0,Earth,0.212,Jupiter,0.849,0.7937029,0.0,Transit,5.687737675016366,0.751268919475056
Kepler-230 b,2416.0,15.264,Neptune-like,2014,16.8,Earth,0.38,Jupiter,0.191,0.08925393,0.0,Transit,2.4382278498953065,0.670949746216105
Kepler-230 c,2416.0,15.264,Super Earth,2014,4.82,Earth,2.04,Earth,0.38,0.2513347,0.0,Transit,0.8144701392893777,0.670949746216105
Kepler-231 b,1033.0,15.813,Super Earth,2014,35.4,Earth,1.73,Earth,0.074,0.027652293,0.0,Transit,5.340251284594515,0.6583977319493346
Kepler-231 c,1033.0,15.813,Super Earth,2014,24.1,Earth,1.93,Earth,0.114,0.05284052,0.0,Transit,5.382437822724111,0.6583977319493346
Kepler-232 b,4401.0,15.565,Neptune-like,2014,9.69,Earth,0.275,Jupiter,0.054,0.012046544,0.0,Transit,0.4408282921707146,0.664067858612648
Kepler-232 c,4401.0,15.565,Neptune-like,2014,14.0,Earth,0.342,Jupiter,0.101,0.031211497,0.0,Transit,5.5241455803892245,0.664067858612648
Kepler-233 b,2794.0,15.477,Neptune-like,2014,6.48,Earth,0.217,Jupiter,0.077,0.023271732,0.0,Transit,4.999196368298545,0.6660798390415656
Kepler-233 c,2794.0,15.477,Neptune-like,2014,7.8,Earth,0.242,Jupiter,0.287,0.16536619,0.0,Transit,5.790938099926476,0.6660798390415656
Kepler-234 b,5653.0,15.747,Neptune-like,2014,13.2,Earth,0.33,Jupiter,0.04,0.0073921974,0.0,Transit,5.71371102148704,0.6599067172710229
Kepler-234 c,5653.0,15.747,Neptune-like,2014,12.1,Earth,0.313,Jupiter,0.077,0.019712524,0.0,Transit,5.396125428213228,0.6599067172710229
Kepler-235 b,1396.0,16.567,Neptune-like,2014,5.6,Earth,2.23,Earth,0.037,0.009034907,0.0,Transit,5.303526326782568,0.6411587178197449
Kepler-235 c,1396.0,16.567,Super Earth,2014,2.18,Earth,1.28,Earth,0.065,0.021355236,0.0,Transit,2.3004463572645424,0.6411587178197449
Kepler-235 d,1396.0,16.567,Super Earth,2014,4.86,Earth,2.05,Earth,0.122,0.0550308,0.0,Transit,5.191784171045835,0.6411587178197449
Kepler-235 e,1396.0,16.567,Neptune-like,2014,5.56,Earth,2.22,Earth,0.213,0.12648872,0.0,Transit,5.967954150156401,0.6411587178197449
Kepler-236 b,942.0,16.014,Super Earth,2014,3.09,Earth,1.57,Earth,0.065,0.022724163,0.0,Transit,2.914718772974524,0.653802185742375
Kepler-236 c,942.0,16.014,Super Earth,2014,4.66,Earth,2.0,Earth,0.132,0.06570842,0.0,Transit,3.935699630753917,0.653802185742375
Kepler-237 b,2146.0,15.689,Super Earth,2014,2.57,Earth,1.41,Earth,0.05,0.012867898,0.0,Transit,0.9433752090751722,0.6612327952809913
Kepler-237 c,2146.0,15.689,Super Earth,2014,4.98,Earth,2.08,Earth,0.071,0.022176592,0.0,Transit,0.9539940394830053,0.6612327952809913
Kepler-238 b,5868.0,15.297,Super Earth,2014,3.64,Earth,1.73,Earth,0.034,0.0057494864,0.0,Transit,0.28619087583226865,0.6701952535552609
Kepler-238 c,5868.0,15.297,Neptune-like,2014,6.3,Earth,0.213,Jupiter,0.069,0.016974675,0.0,Transit,3.4726342773554624,0.6701952535552609
Kepler-238 d,5868.0,15.297,Neptune-like,2014,9.64,Earth,0.274,Jupiter,0.115,0.03613963,0.0,Transit,3.0253530589764464,0.6701952535552609
Kepler-238 e,5868.0,15.297,Neptune-like,2013,0.534,Jupiter,0.5,Jupiter,0.1658,0.06488707,0.0,Transit,3.717474319415287,0.6701952535552609
Kepler-238 f,5868.0,15.297,Super Earth,2013,13.5,Earth,2.0,Earth,0.2747,0.13798769,0.0,Transit,4.95335346352246,0.6701952535552609
Kepler-239 b,2114.0,15.252,Neptune-like,2014,6.04,Earth,0.208,Jupiter,0.095,0.03230664,0.0,Transit,0.019416116433201062,0.6712241071836846
Kepler-239 c,2114.0,15.252,Neptune-like,2014,6.85,Earth,0.224,Jupiter,0.268,0.15386721,0.0,Transit,4.709488094758426,0.6712241071836846
Kepler-23 b,2726.0,13.567,Neptune-like,2011,0.8,Jupiter,1.9,Earth,0.075,0.01943874,0.06,Transit,2.6129013862863713,0.7097489597146646
Kepler-23 c,2726.0,13.567,Neptune-like,2011,2.7,Jupiter,0.285,Jupiter,0.099,0.029295003,0.02,Transit,0.4249405157717559,0.7097489597146646
Kepler-23 d,2726.0,13.567,Super Earth,2014,17.6,Earth,2.2,Earth,0.124,0.041889116,0.08,Transit,3.496199062772383,0.7097489597146646
Kepler-240 b,2436.0,15.953,Super Earth,2014,2.45,Earth,1.37,Earth,0.048,0.011225188,0.0,Transit,3.5285439699888697,0.6551968539942384
Kepler-240 c,2436.0,15.953,Super Earth,2014,0.322,Jupiter,2.2,Earth,0.074,0.021902807,0.0,Transit,2.563010190190053,0.6551968539942384
Kepler-241 b,1670.0,15.708,Neptune-like,2014,6.04,Earth,0.208,Jupiter,0.094,0.034770705,0.0,Transit,5.720064677444626,0.6607983904156569
Kepler-241 c,1670.0,15.708,Neptune-like,2014,7.13,Earth,0.229,Jupiter,0.189,0.09883641,0.0,Transit,4.271196263399065,0.6607983904156569
Kepler-242 b,1958.0,15.489,Neptune-like,2014,7.32,Earth,0.233,Jupiter,0.075,0.022450376,0.0,Transit,1.8616840788530264,0.6658054780739859
Kepler-242 c,1958.0,15.489,Super Earth,2014,4.66,Earth,2.0,Earth,0.109,0.039698835,0.0,Transit,3.265987993122096,0.6658054780739859
Kepler-243 b,2263.0,15.159,Neptune-like,2014,6.57,Earth,0.219,Jupiter,0.062,0.015605749,0.0,Transit,0.6666575982739886,0.6733504046824272
Kepler-243 c,2263.0,15.159,Super Earth,2014,4.62,Earth,1.99,Earth,0.142,0.054757014,0.0,Transit,2.678377909363976,0.6733504046824272
Kepler-244 b,3381.0,15.747,Neptune-like,2014,8.05,Earth,0.246,Jupiter,0.05,0.011772759,0.0,Transit,1.6536152667803756,0.6599067172710229
Kepler-244 c,3381.0,15.747,Super Earth,2014,4.86,Earth,2.05,Earth,0.087,0.026830938,0.0,Transit,4.626503789178394,0.6599067172710229
Kepler-244 d,3381.0,15.747,Super Earth,2014,15.2,Earth,0.206,Jupiter,0.14,0.0550308,0.0,Transit,1.9938094551862982,0.6599067172710229
Kepler-245 b,2810.0,15.546,Neptune-like,2014,7.13,Earth,0.229,Jupiter,0.071,0.02053388,0.0,Transit,4.205332270640306,0.6645022634779826
Kepler-245 c,2810.0,15.546,Super Earth,2014,0.71,Jupiter,2.18,Earth,0.124,0.04791239,0.0,Transit,0.7926385706056427,0.6645022634779826
Kepler-245 d,2810.0,15.546,Neptune-like,2014,21.6,Earth,0.27,Jupiter,0.202,0.09938398,0.0,Transit,3.955478989416644,0.6645022634779826
Kepler-245 e,2810.0,15.546,Super Earth,2016,3.71,Earth,1.75,Earth,0.04,0.008761123,0.0,Transit,5.676979268973387,0.6645022634779826
Kepler-246 b,2042.0,15.197,Neptune-like,2014,6.08,Earth,0.209,Jupiter,0.052,0.012594113,0.0,Transit,4.452807955069402,0.6724815949517582
Kepler-246 c,2042.0,15.197,Super Earth,2014,2.86,Earth,1.5,Earth,0.095,0.030663928,0.0,Transit,0.3190898034864834,0.6724815949517582
Kepler-247 b,2165.0,15.199,Super Earth,2014,3.33,Earth,1.64,Earth,0.042,0.009034907,0.0,Transit,4.272522018025058,0.6724358681238283
Kepler-247 c,2165.0,15.199,Neptune-like,2014,15.7,Earth,0.365,Jupiter,0.084,0.025735795,0.0,Transit,0.5449666795453546,0.6724358681238283
Kepler-247 d,2165.0,15.199,Neptune-like,2014,14.7,Earth,0.352,Jupiter,0.14,0.056125943,0.0,Transit,5.8620926416571955,0.6724358681238283
Kepler-248 b,2410.0,15.506,Neptune-like,2014,9.38,Earth,0.269,Jupiter,0.066,0.017248461,0.0,Transit,0.13328912517525643,0.6654168000365814
Kepler-248 c,2410.0,15.506,Neptune-like,2014,15.6,Earth,0.363,Jupiter,0.123,0.044353183,0.0,Transit,5.203240719056414,0.6654168000365814
Kepler-249 b,621.0,16.37,Super Earth,2014,1.32,Earth,1.09,Earth,0.035,0.009034907,0.0,Transit,4.184553686943537,0.6456628103708445
Kepler-249 c,621.0,16.37,Super Earth,2014,2.89,Earth,1.51,Earth,0.058,0.01943874,0.0,Transit,6.265591867664492,0.6456628103708445
Kepler-249 d,621.0,16.37,Super Earth,2014,3.09,Earth,1.57,Earth,0.097,0.042162903,0.0,Transit,5.785441997662457,0.6456628103708445
Kepler-24 b,3774.0,15.04,Neptune-like,2011,1.6,Jupiter,0.214,Jupiter,0.08,0.022176592,0.0,Transit,4.96186116550327,0.676071150944259
Kepler-24 c,3774.0,15.04,Neptune-like,2011,1.6,Jupiter,0.25,Jupiter,0.106,0.033675566,0.0,Transit,1.0443609130782963,0.676071150944259
Kepler-24 d,3774.0,15.04,Super Earth,2014,3.43,Earth,1.67,Earth,0.051,0.011498973,0.0,Transit,0.12269987690938934,0.676071150944259
Kepler-24 e,3774.0,15.04,Neptune-like,2014,8.15,Earth,0.248,Jupiter,0.138,0.052019164,0.0,Transit,3.063563405648193,0.676071150944259
Kepler-250 b,2481.0,15.819,Super Earth,2014,1.51,Earth,1.13,Earth,0.048,0.011225188,0.0,Transit,5.807469280000063,0.6582605514655447
Kepler-250 c,2481.0,15.819,Neptune-like,2014,5.82,Earth,0.203,Jupiter,0.069,0.019712524,0.0,Transit,5.395712047546735,0.6582605514655447
Kepler-250 d,2481.0,15.819,Neptune-like,2014,5.39,Earth,2.18,Earth,0.127,0.048186176,0.0,Transit,2.71481654882067,0.6582605514655447
Kepler-251 b,3016.0,15.541,Super Earth,2014,2.33,Earth,1.33,Earth,0.053,0.013141684,0.0,Transit,0.2115387650689108,0.6646165805478074
Kepler-251 c,3016.0,15.541,Neptune-like,2014,8.1,Earth,0.247,Jupiter,0.122,0.04517454,0.0,Transit,1.734802907521693,0.6646165805478074
Kepler-251 d,3016.0,15.541,Neptune-like,2014,8.1,Earth,0.247,Jupiter,0.182,0.08240931,0.0,Transit,3.5381813115388407,0.6646165805478074
Kepler-251 e,3016.0,15.541,Neptune-like,2014,8.1,Earth,0.247,Jupiter,0.404,0.27268994,0.0,Transit,4.877987853705548,0.6646165805478074
Kepler-252 b,1238.0,15.406,Super Earth,2014,2.04,Earth,1.23,Earth,0.058,0.0183436,0.0,Transit,4.572075181989664,0.6677031414330789
Kepler-252 c,1238.0,15.406,Neptune-like,2014,5.27,Earth,2.15,Earth,0.08,0.02956879,0.0,Transit,5.389617181993292,0.6677031414330789
Kepler-253 b,2735.0,15.778,Super Earth,2014,3.29,Earth,1.63,Earth,0.046,0.010403832,0.0,Transit,0.6263523292765367,0.6591979514381088
Kepler-253 c,2735.0,15.778,Neptune-like,2014,7.51,Earth,0.236,Jupiter,0.089,0.028199865,0.0,Transit,2.134321910774641,0.6591979514381088
Kepler-253 d,2735.0,15.778,Neptune-like,2014,10.2,Earth,0.283,Jupiter,0.13,0.0495551,0.0,Transit,3.3550812791571256,0.6591979514381088
Kepler-254 b,4532.0,16.012,Neptune-like,2014,14.3,Earth,0.345,Jupiter,0.064,0.015879534,0.0,Transit,2.663125790781893,0.653847912570305
Kepler-254 c,4532.0,16.012,Neptune-like,2014,3.2,Earth,2.15,Earth,0.105,0.03394935,0.0,Transit,4.361262967989009,0.653847912570305
Kepler-254 d,4532.0,16.012,Neptune-like,2014,6.8,Earth,0.223,Jupiter,0.139,0.051197812,0.0,Transit,4.297162496516312,0.653847912570305
Kepler-255 b,3433.0,15.699,Super Earth,2014,3.02,Earth,1.55,Earth,0.063,0.015605749,0.0,Transit,2.502370410185729,0.6610041611413416
Kepler-255 c,3433.0,15.699,Neptune-like,2014,9.22,Earth,0.267,Jupiter,0.092,0.027104722,0.0,Transit,2.384438840379783,0.6610041611413416
Kepler-255 d,3433.0,15.699,Super Earth,2016,2.3,Earth,1.32,Earth,0.0192,0.0027378509,0.0,Transit,2.069595390364505,0.6610041611413416
Kepler-256 b,3348.0,15.178,Super Earth,2014,3.15,Earth,1.59,Earth,0.027,0.0043805614,0.0,Transit,4.92881089546296,0.6729159998170927
Kepler-256 c,3348.0,15.178,Neptune-like,2014,5.27,Earth,2.15,Earth,0.045,0.009308693,0.0,Transit,3.512394735393435,0.6729159998170927
Kepler-256 d,3348.0,15.178,Neptune-like,2014,6.71,Earth,0.221,Jupiter,0.064,0.015879534,0.0,Transit,5.86457318980844,0.6729159998170927
Kepler-256 e,3348.0,15.178,Neptune-like,2014,6.12,Earth,0.21,Jupiter,0.096,0.029295003,0.0,Transit,0.899901505659066,0.6729159998170927
Kepler-257 b,2545.0,15.652,Neptune-like,2014,7.32,Earth,0.233,Jupiter,0.034,0.006570842,0.0,Transit,4.733254537413677,0.6620787415976953
Kepler-257 c,2545.0,15.652,Neptune-like,2014,25.2,Earth,0.483,Jupiter,0.066,0.018069815,0.0,Transit,5.743383217041389,0.6620787415976953
Kepler-257 d,2545.0,15.652,Neptune-like,2014,21.7,Earth,0.442,Jupiter,0.16,0.06762492,0.0,Transit,5.952874020914831,0.6620787415976953
Kepler-258 b,1879.0,15.49,Neptune-like,2014,15.5,Earth,0.362,Jupiter,0.103,0.03613963,0.0,Transit,0.37226105645725016,0.665782614660021
Kepler-258 c,1879.0,15.49,Neptune-like,2014,12.7,Earth,0.322,Jupiter,0.193,0.092265576,0.0,Transit,5.183855429451962,0.665782614660021
Kepler-259 b,3269.0,15.378,Neptune-like,2014,8.25,Earth,0.25,Jupiter,0.079,0.022176592,0.0,Transit,4.637126202431445,0.668343317024098
Kepler-259 c,3269.0,15.378,Neptune-like,2014,7.75,Earth,0.241,Jupiter,0.217,0.1010267,0.0,Transit,0.11250742660398007,0.668343317024098
Kepler-25 b,793.0,10.769,Neptune-like,2011,8.7,Earth,0.245,Jupiter,0.0685,0.016974675,0.0,Transit,1.7293279952334235,0.7737207919886597
Kepler-25 c,793.0,10.769,Neptune-like,2011,15.2,Earth,0.465,Jupiter,0.1101,0.034770705,0.01,Transit,0.617874689536641,0.7737207919886597
Kepler-25 d,793.0,10.769,Gas Giant,2014,0.226,Jupiter,0.894,Jupiter,,0.33511293,0.13,Radial Velocity,0.48081941219330027,0.7737207919886597
Kepler-260 b,2046.0,14.253,Super Earth,2014,4.7,Earth,2.01,Earth,0.075,0.022450376,0.0,Transit,0.043808088212772794,0.694064657734693
Kepler-260 c,2046.0,14.253,Super Earth,2014,3.68,Earth,1.74,Earth,0.332,0.20835043,0.0,Transit,3.224921496037816,0.694064657734693
Kepler-261 b,1036.0,13.738,Neptune-like,2014,5.39,Earth,2.18,Earth,0.088,0.028473647,0.0,Transit,4.133535709976793,0.7058393159266542
Kepler-261 c,1036.0,13.738,Super Earth,2014,4.66,Earth,2.0,Earth,0.156,0.06735113,0.0,Transit,0.5590495924932134,0.7058393159266542
Kepler-262 b,2000.0,14.478,Super Earth,2014,2.42,Earth,1.36,Earth,0.108,0.035865847,0.0,Transit,2.8001188066934506,0.688920389592574
Kepler-262 c,2000.0,14.478,Super Earth,2014,3.33,Earth,1.64,Earth,0.152,0.05995893,0.0,Transit,4.85105798290779,0.688920389592574
Kepler-263 b,2462.0,15.435,Neptune-like,2014,7.61,Earth,0.238,Jupiter,0.12,0.045448326,0.0,Transit,0.5131466949765451,0.6670401024280945
Kepler-263 c,2462.0,15.435,Neptune-like,2014,6.66,Earth,0.22,Jupiter,0.242,0.12950034,0.0,Transit,3.0792786658177027,0.6670401024280945
Kepler-264 b,3073.0,13.15,Neptune-like,2014,11.1,Earth,0.297,Jupiter,0.249,0.11170431,0.0,Transit,6.096897999575763,0.7192830033380585
Kepler-264 c,3073.0,13.15,Neptune-like,2014,8.4,Earth,0.252,Jupiter,0.566,0.3835729,0.0,Transit,3.5085476242435862,0.7192830033380585
Kepler-265 b,4176.0,15.47,Super Earth,2014,4.12,Earth,1.86,Earth,0.069,0.018617386,0.0,Transit,5.487478063416437,0.6662398829393206
Kepler-265 c,4176.0,15.47,Neptune-like,2014,7.41,Earth,0.235,Jupiter,0.127,0.046543464,0.0,Transit,2.4512206627600617,0.6662398829393206
Kepler-265 d,4176.0,15.47,Neptune-like,2014,6.76,Earth,0.222,Jupiter,0.236,0.118001364,0.0,Transit,5.121761376802196,0.6662398829393206
Kepler-265 e,4176.0,15.47,Neptune-like,2014,7.22,Earth,0.231,Jupiter,0.319,0.1856263,0.0,Transit,1.1698131288457938,0.6662398829393206
Kepler-266 b,4472.0,15.787,Neptune-like,2014,6.71,Earth,0.221,Jupiter,0.071,0.018069815,0.0,Transit,5.551304222229969,0.658992180712424
Kepler-266 c,4472.0,15.787,Neptune-like,2014,14.4,Earth,0.347,Jupiter,0.457,0.29486653,0.0,Transit,2.847138302965739,0.658992180712424
Kepler-267 b,864.0,16.69,Super Earth,2014,37.9,Earth,1.98,Earth,0.037,0.009308693,0.0,Transit,6.022762481818194,0.6383465179020531
Kepler-267 c,864.0,16.69,Neptune-like,2014,5.18,Earth,2.13,Earth,0.06,0.01889117,0.0,Transit,3.346883395883845,0.6383465179020531
Kepler-267 d,864.0,16.69,Neptune-like,2014,5.77,Earth,0.203,Jupiter,0.154,0.078028746,0.0,Transit,4.635535583685597,0.6383465179020531
Kepler-268 b,2779.0,13.844,Neptune-like,2014,7.04,Earth,0.227,Jupiter,0.18,0.070910335,0.0,Transit,3.2693796286310453,0.703415794046367
Kepler-268 c,2779.0,13.844,Neptune-like,2014,11.4,Earth,0.302,Jupiter,0.391,0.22833677,0.0,Transit,4.083113125615693,0.703415794046367
Kepler-269 b,7363.0,15.646,Neptune-like,2014,6.66,Earth,0.22,Jupiter,0.061,0.01451061,0.0,Transit,0.17449477437179833,0.6622159220814852
Kepler-269 c,7363.0,15.646,Super Earth,2014,3.5,Earth,1.69,Earth,0.081,0.022176592,0.0,Transit,1.439849576602671,0.6622159220814852
Kepler-26 b,1094.0,15.853,Neptune-like,2011,5.12,Earth,0.248,Jupiter,0.08551,0.033675566,0.0,Transit,6.063164572203662,0.6574831953907357
Kepler-26 c,1094.0,15.853,Neptune-like,2011,6.2,Earth,0.243,Jupiter,0.10725,0.047364816,0.0,Transit,4.133233656916745,0.6574831953907357
Kepler-26 d,1094.0,15.853,Super Earth,2014,1.24,Earth,1.07,Earth,0.039,0.009582478,0.0,Transit,2.7404688593298197,0.6574831953907357
Kepler-26 e,1094.0,15.853,Neptune-like,2014,6.39,Earth,0.215,Jupiter,0.22,0.12813142,0.0,Transit,2.3007379780596096,0.6574831953907357
Kepler-270 b,3095.0,13.9,Super Earth,2014,4.7,Earth,2.01,Earth,0.107,0.031485286,0.0,Transit,1.6845986608652264,0.7021354428643285
Kepler-270 c,3095.0,13.9,Super Earth,2014,3.78,Earth,1.77,Earth,0.18,0.06926762,0.0,Transit,2.7108164955935634,0.7021354428643285
Kepler-271 b,1320.0,13.578,Super Earth,2014,2.04,Earth,1.23,Earth,0.0881,0.028473647,0.0,Transit,4.511771870837606,0.7094974621610499
Kepler-271 c,1320.0,13.578,Terrestrial,2014,0.809,Earth,0.95,Earth,0.0702,0.020260096,0.0,Transit,1.7055675514111666,0.7094974621610499
Kepler-271 d,1320.0,13.578,Terrestrial,2016,0.219,Earth,0.66,Earth,0.0558,0.014236824,0.0,Transit,2.4898489088020015,0.7094974621610499
Kepler-272 b,2902.0,14.811,Super Earth,2014,0.245,Jupiter,1.43,Earth,0.038,0.008213553,0.0,Transit,0.3232658025211311,0.6813068727422379
Kepler-272 c,2902.0,14.811,Super Earth,2014,0.308,Jupiter,1.79,Earth,0.061,0.01670089,0.0,Transit,5.310468669619814,0.6813068727422379
Kepler-272 d,2902.0,14.811,Neptune-like,2014,5.69,Earth,0.201,Jupiter,0.091,0.029842572,0.0,Transit,1.5031586707288158,0.6813068727422379
Kepler-273 b,2329.0,15.1,Super Earth,2014,2.86,Earth,1.5,Earth,0.037,0.007939767,0.0,Transit,3.1746588761921637,0.6746993461063605
Kepler-273 c,2329.0,15.1,Super Earth,2014,4.58,Earth,1.98,Earth,0.073,0.021902807,0.0,Transit,1.6524243302801829,0.6746993461063605
Kepler-274 b,4350.0,15.238,Super Earth,2014,2.99,Earth,1.54,Earth,0.101,0.03175907,0.0,Transit,4.877969266721307,0.6715441949791943
Kepler-274 c,4350.0,15.238,Super Earth,2014,4.04,Earth,1.84,Earth,0.204,0.09089665,0.0,Transit,6.269768765142097,0.6715441949791943
Kepler-275 b,6636.0,15.289,Neptune-like,2014,6.08,Earth,0.209,Jupiter,0.098,0.028199865,0.0,Transit,4.734513224759393,0.6703781608669807
Kepler-275 c,6636.0,15.289,Neptune-like,2014,11.4,Earth,0.302,Jupiter,0.132,0.044079397,0.0,Transit,5.967305809097845,0.6703781608669807
Kepler-275 d,6636.0,15.289,Neptune-like,2014,11.1,Earth,0.297,Jupiter,0.224,0.097741276,0.0,Transit,1.4893388121644988,0.6703781608669807
Kepler-276 b,3735.0,15.481,Neptune-like,2014,8.6,Earth,0.256,Jupiter,0.119,0.038603697,0.0,Transit,5.762389587353683,0.6659883853857057
Kepler-276 c,3735.0,15.481,Super Earth,2013,16.6,Earth,0.259,Jupiter,0.1994,0.08733744,0.0,Transit,3.0245253636304987,0.6659883853857057
Kepler-276 d,3735.0,15.481,Super Earth,2013,16.3,Earth,0.25,Jupiter,0.2642,0.13305955,0.0,Transit,5.976927007585959,0.6659883853857057
Kepler-277 b,3186.0,13.544,Gas Giant,2013,0.275,Jupiter,0.261,Jupiter,0.1385,0.047364816,0.0,Transit,5.1027025017676575,0.7102748182358589
Kepler-277 c,3186.0,13.544,Gas Giant,2013,0.202,Jupiter,0.3,Jupiter,0.2129,0.09034908,0.0,Transit,5.619612099100729,0.7102748182358589
Kepler-278 b,1445.0,11.811,Neptune-like,2014,15.6,Earth,0.363,Jupiter,0.207,0.082683094,0.04,Transit,1.0801299571670018,0.7498971146371576
Kepler-278 c,1445.0,11.811,Neptune-like,2014,12.6,Earth,0.32,Jupiter,0.294,0.13990417,0.51,Transit,0.06154029562681069,0.7498971146371576
Kepler-279 b,3384.0,13.647,Neptune-like,2014,12.8,Earth,0.323,Jupiter,0.112,0.033675566,0.0,Transit,5.625010966579492,0.7079198865974667
Kepler-279 c,3384.0,13.647,Gas Giant,2013,0.155,Jupiter,0.384,Jupiter,0.2236,0.097741276,0.0,Transit,0.9073358588677062,0.7079198865974667
Kepler-279 d,3384.0,13.647,Neptune-like,2013,37.5,Earth,0.277,Jupiter,0.2901,0.14893909,0.0,Transit,2.174449300841401,0.7079198865974667
Kepler-27 b,3407.0,15.822,Gas Giant,2011,9.11,Jupiter,0.357,Jupiter,0.118,0.041889116,0.0,Transit,2.201527912048018,0.65819196122365
Kepler-27 c,3407.0,15.822,Gas Giant,2011,13.8,Jupiter,0.437,Jupiter,0.191,0.08569473,0.0,Transit,0.6781399104132386,0.65819196122365
Kepler-27 d,3407.0,15.822,Neptune-like,2021,7.78,Earth,0.241,Jupiter,0.0668,0.01779603,0.0,Transit,6.01596454773932,0.65819196122365
Kepler-280 b,2546.0,14.35,Super Earth,2014,2.7,Earth,1.45,Earth,0.032,0.0057494864,0.0,Transit,0.37670357179575864,0.6918469065800905
Kepler-280 c,2546.0,14.35,Super Earth,2014,4.7,Earth,2.01,Earth,0.056,0.013141684,0.0,Transit,6.085074510249796,0.6918469065800905
Kepler-281 b,5694.0,15.931,Neptune-like,2014,8.35,Earth,0.252,Jupiter,0.117,0.039972622,0.0,Transit,1.5025125602730118,0.6556998491014678
Kepler-281 c,5694.0,15.931,Neptune-like,2014,24.4,Earth,0.474,Jupiter,0.215,0.09938398,0.0,Transit,0.7381979404826025,0.6556998491014678
Kepler-281 d,5694.0,15.931,Neptune-like,2021,29.5,Earth,0.53,Jupiter,0.5456,0.4060233,0.0,Transit,3.7226594978296594,0.6556998491014678
Kepler-282 b,4363.0,15.444,Super Earth,2014,1.01,Earth,1.01,Earth,0.082,0.025188226,0.0,Transit,0.8627666919610878,0.6668343317024097
Kepler-282 c,4363.0,15.444,Super Earth,2014,1.87,Earth,1.2,Earth,0.106,0.037234772,0.0,Transit,4.093569347499582,0.6668343317024097
Kepler-282 d,4363.0,15.444,Super Earth,2013,0.192,Jupiter,0.219,Jupiter,0.154,0.0678987,0.0,Transit,2.2877772552656954,0.6668343317024097
Kepler-282 e,4363.0,15.444,Gas Giant,2013,0.177,Jupiter,0.277,Jupiter,0.2269,0.12128679,0.0,Transit,6.018145550853585,0.6668343317024097
Kepler-283 b,1527.0,16.216,Neptune-like,2014,5.18,Earth,2.13,Earth,0.082,0.030116359,0.0,Transit,4.348473296235956,0.6491837761214504
Kepler-283 c,1527.0,16.216,Super Earth,2014,3.97,Earth,1.82,Earth,0.341,0.25379875,0.0,Transit,3.9292757002707357,0.6491837761214504
Kepler-284 b,3366.0,15.944,Neptune-like,2014,5.65,Earth,0.2,Jupiter,0.104,0.034770705,0.0,Transit,4.133765795655874,0.6554026247199232
Kepler-284 c,3366.0,15.944,Neptune-like,2014,7.32,Earth,0.233,Jupiter,0.213,0.1026694,0.0,Transit,4.346046265011209,0.6554026247199232
Kepler-285 b,2689.0,15.198,Super Earth,2014,2.36,Earth,1.34,Earth,0.036,0.007118412,0.0,Transit,0.8863990366198036,0.6724587315377932
Kepler-285 c,2689.0,15.198,Super Earth,2014,1.46,Earth,1.12,Earth,0.064,0.016974675,0.0,Transit,6.09279679993145,0.6724587315377932
Kepler-286 b,4002.0,15.863,Super Earth,2014,2.07,Earth,1.24,Earth,0.027,0.004928131,0.0,Transit,0.759738107970822,0.6572545612510861
Kepler-286 c,4002.0,15.863,Super Earth,2014,2.45,Earth,1.37,Earth,0.042,0.009582478,0.0,Transit,0.998511001420133,0.6572545612510861
Kepler-286 d,4002.0,15.863,Super Earth,2014,2.33,Earth,1.33,Earth,0.061,0.01615332,0.0,Transit,0.44798656673065146,0.6572545612510861
Kepler-286 e,4002.0,15.863,Super Earth,2014,3.78,Earth,1.77,Earth,0.176,0.079945244,0.0,Transit,4.378174141280256,0.6572545612510861
